analysis,h,CPUtime,Nruns,Nfail,fabs,frel,xabs,xrel,seed,under3460,under3450,under3440
timetest01,1,16688.01510346,10,10,1.0e-6,1.0e-5,0.0001,0.001.,30312,,,
timetest02,1,37137.96354747,10,25,1.0e-6,1.0e-5,0.0001,0.001.,28669,,,
timetest03,1,12630.994448551,10,100,0.1,0.1,0.0001,0.001.,66086,,,
timetest04,1,21942.346502542,10,100,0.01,0.01,0.0001,0.001.,62366,,,
timetest05,1,23949.375026384,10,100,0.005,0.005,0.0001,0.001.,3888,,,
timetest06,1,39287.796202476,10,25,1.0e-6,1.0e-5,0.0001,0.001.,14351,,,
timetest07,1,29822.147601027,10,100,0.005,0.005,0.0001,0.001.,14351,,,
timetest08,1,51589.342317181,10,100,1.0e-6,1.0e-5,0.001,0.1.,15989,,,
timetest09,1,34831.465925074,10,50,0.0001,1.0e-5,0.0001,0.001.,45123,,,
timetest10,1,29394.463493788,10,50,1.0e-5,0.0001,0.0001,0.001.,37792,,,
timetest11,1,67926.502059791,10,50,5.0e-6,1.0e-5,0.0001,0.001.,25765,,,
timetest12,1,18935.630572383,10,50,1.0e-6,1.0e-5,0.01,0.1.,39416,,,
timetest13,1,31456.993676184,10,100,1.0e-5,1.0e-5,0.01,0.1.,38112,,,
